"","Roomnights","Takings"
"1",277,7.7
"2",260.6,7.5
"3",291.6,8.3
"4",275.4,7.8
"5",275.3,7.9
"6",231.7,6.6
"7",238.8,7
"8",274.2,8.2
"9",277.8,8.2
"10",299.1,9.1
"11",286.6,9
"12",232.3,7.1
"13",294.1,8.9
"14",267.5,8.5
"15",309.7,9.8
"16",280.7,8.8
"17",287.3,9.2
"18",235.7,7.4
"19",256.4,8.3
"20",289,9.7
"21",290.8,9.7
"22",321.9,10.8
"23",291.8,9.8
"24",241.4,7.9
"25",295.5,9.8
"26",258.2,9
"27",306.1,10.5
"28",281.5,9.5
"29",283.1,9.7
"30",237.4,8.1
"31",274.8,10.1
"32",299.3,11.1
"33",300.4,11.2
"34",340.9,12.6
"35",318.8,12.2
"36",265.7,9.9
"37",322.7,11.8
"38",281.6,11.1
"39",323.5,12.6
"40",312.6,11.9
"41",310.8,11.9
"42",262.8,10
"43",273.8,10.8
"44",320,12.9
"45",310.3,12.5
"46",342.2,13.8
"47",320.1,13.1
"48",265.6,10.5
"49",327,12.9
"50",300.7,12.9
"51",346.4,14.4
"52",317.3,12.7
"53",326.2,13.3
"54",270.7,11
"55",278.2,11.9
"56",324.6,14.1
"57",321.8,14.4
"58",343.5,14.9
"59",354,15.7
"60",278.2,12
"61",330.2,14.3
"62",307.3,14.2
"63",375.9,17.4
"64",335.3,15.1
"65",339.3,15.3
"66",280.3,12.6
"67",293.7,14
"68",341.2,16.6
"69",345.1,16.7
"70",368.7,17.6
"71",369.4,18.3
"72",288.4,13.6
"73",341,15.8
"74",319.1,16.1
"75",374.2,18.6
"76",344.5,17.3
"77",337.3,17
"78",281,13.9
"79",282.2,15.2
"80",321,17.8
"81",325.4,18
"82",366.3,19.4
"83",380.3,21.8
"84",300.7,16.2
"85",359.3,19.2
"86",327.6,19.5
"87",383.6,22
"88",352.4,20
"89",329.4,19.2
"90",294.5,16.9
"91",333.5,20
"92",334.3,20.4
"93",358,21.8
"94",396.1,25
"95",387,25.8
"96",307.2,19.4
"97",363.9,22.6
"98",344.7,24.1
"99",397.6,26.9
"100",376.8,24.9
"101",337.1,23.3
"102",299.3,20.3
"103",323.1,22.3
"104",329.1,23.7
"105",347,24.3
"106",462,31.7
"107",436.5,32.2
"108",360.4,25.4
"109",415.5,28.6
"110",382.1,28.7
"111",432.2,30.9
"112",424.3,31.4
"113",386.7,29.1
"114",354.5,26.3
"115",375.8,28.9
"116",368,28.9
"117",402.4,31
"118",426.5,33.4
"119",433.3,35.9
"120",338.5,25.8
"121",416.8,31.2
"122",381.1,31.7
"123",445.7,36.2
"124",412.4,32
"125",394,32.1
"126",348.2,28.1
"127",380.1,31.1
"128",373.7,31.9
"129",393.6,32
"130",434.2,36.6
"131",430.7,38.1
"132",344.5,28.1
"133",411.9,32.9
"134",370.5,30.7
"135",437.3,35.4
"136",411.3,33.7
"137",385.5,31.6
"138",341.3,27.9
"139",384.2,32.2
"140",373.2,32.3
"141",415.8,35.3
"142",448.6,37.2
"143",454.3,39.6
"144",350.3,28.4
"145",419.1,33.9
"146",398,33.7
"147",456.1,38.3
"148",430.1,34.6
"149",399.8,32.7
"150",362.7,29.5
"151",384.9,32
"152",385.3,33.2
"153",432.3,36.7
"154",468.9,38.6
"155",442.7,38.1
"156",370.2,29.8
"157",439.4,35.6
"158",393.9,33.2
"159",468.7,38.9
"160",438.8,34.8
"161",430.1,37.2
"162",366.3,29.7
"163",391,32.2
"164",380.9,32.1
"165",431.4,36.3
"166",465.4,38.4
"167",471.5,40.8
"168",387.5,31.3
"169",446.4,36.2
"170",421.5,35.1
"171",504.8,44.1
"172",492.1,39.3
"173",421.3,34.1
"174",396.7,32.4
"175",428,36.3
"176",421.9,36.8
"177",465.6,40.5
"178",525.8,46
"179",499.9,43.9
"180",435.3,37.2
"181",479.5,40.7
"182",473,42
"183",554.4,49.2
"184",489.6,42.3
"185",462.2,40.8
"186",420.3,37.6
